strain_name,latitude,longitude
Biomphalaria,18.305151,-66.020622
hupensis_isolate_792,30.644722,118.841667
robertsoni_isolate_1508,25.7,100.183333
tangi_isolate_638,25.430833,119.605278
formosana_isolate_207,23.996111,120.476111
quadrasi_isolate_221,15.593,120.7388
minima_isolate_A001,35.685278,139.753056
3_nosophora_isolate,35.395767,139.955692
9_hupensis_isolate,28.590853,118.370476
10_robertsoni_isolate,30.405452,103.829727
robertsoni_isolate_57,26.96889,101.80972
robertsoni_isolate_939,27.89833,101.97944
robertsoni_isolate_1393,30.05472,103.7175
